dataset,repo,hash,message,is_bugfix,isBugfix_stemming,isBugfix_qwen3.5:122b,isBugfix_codestral:22b,isBugfix_mistral-small3.2:24b,isBugfix_codegemma:7b,isBugfix_gemma4:12b,isBugfix_qwen3-coder:30b,isBugfix_qwen3.6:35b
bugsinpy,ansible,fc7980af9a42676913b4054163570ee438b82e9c,Fix UNC path support in the powershell shell plugin (#66604),true,true,true,true,true,true,true,true,true
bugsinpy,ansible,4ec1437212b2fb3c313e44ed5a76b105f2151622,Fix to - eos_vlans using state parameter replaced is giving odd behavior  (#67318),true,true,true,true,true,true,true,true,true
bugsinpy,ansible,4881af2e7e0506ada0225fd764e874e20569d5b2,galaxy - Fix collection install dep resolver for bad versions (#67405),true,true,true,true,true,true,true,true,true
bugsinpy,ansible,3c3ffc09c203d1b2262f6a319cceadd727749761,Fix and add tests for some module_utils.common.validation (#67771),true,true,true,true,true,true,true,true,false
bugsinpy,ansible,18a66e291dad71128a32d662aa808213acefe0e9,Force collections to be static (#68723),true,false,true,true,true,true,true,true,true
bugsinpy,ansible,9d48884e36fb4fd9551f000b87d264383de74e75,Fix support for Kali Linux detection (#69194),true,true,true,true,true,true,true,true,true
bugsinpy,ansible,5b9418c06ca6d51507468124250bb58046886be6,Fix SemanticVersion comparison (#69395),true,true,true,true,true,true,true,true,true
bugsinpy,ansible,343ffaa18b63c92e182b16c3ad84b8d81ca4df69,"better error for ""ansible-galaxy collection verify"" if there's no MANIFEST.json (#67498)",true,false,true,true,true,true,true,true,true
bugsinpy,black,6316e293ac30a2837ec20eba289fd28a2a18cf89,Automatic detection of deprecated Python 2 forms of print and exec,true,false,false,true,false,true,false,false,false
bugsinpy,black,c55d08d0b96c8de8bd867ca315e380d9e9d2d7ec,Remove standalone comment hacks,true,false,false,false,false,true,false,false,false
bugsinpy,black,8e7848c63efe36f09e4651bece8c0efc34a1c3e1,Open temporary files with utf-8 encoding (#126),true,false,true,true,false,true,true,true,true
bugsinpy,black,06e95b1e9bcd43c4574840f8174ba4b2c5d281bd,Show full path on diffs,true,false,true,true,true,true,true,true,true
bugsinpy,black,29e97d1d4a7717f1bd0ca35cacf2f2ce6d815b0c,[#154] Handle comments between decorators properly (#166),true,false,true,true,true,true,true,true,true
bugsinpy,black,00a302560b92951c22f0f4c8d618cf63de39bd57,Preserve line endings when formatting a file in place (#288),true,false,true,true,true,true,true,true,true
bugsinpy,black,7fc6ce990669464f5172b63fafa3724f5f308be3,Fix handling of empty files,true,true,true,true,true,true,true,true,true
bugsinpy,black,42a3fe53319a8c02858c2a96989ed1339f84515a,Ignore symbolic links pointing outside of the root directory (#339),true,false,true,true,true,true,true,true,true
bugsinpy,black,df2ae3bbe6c45298aabb6c04e85cb353205626f1,Use the separate pass for `# fmt: off` on all code,true,false,true,false,false,true,false,true,true
bugsinpy,black,dd8bde6d2fbfe8a7a11093e761a0cb5837efa96a,Improve get_future_imports implementation.,true,false,false,false,false,true,true,false,false
bugsinpy,black,883689366ce0f0e0ddd66d81360c61abfd19b01a,Support parsing of async generators in non-async functions (#165),true,false,false,false,false,true,false,false,false
bugsinpy,black,b53cb9474348e13533ccba3735191a55ef3da6c4,fix bracket match bug (#470),true,true,true,true,true,true,true,true,true
bugsinpy,black,024c9cab55da7bd3236fd88759c9735d6149b464,Add support for special comments in multiline functions (#642),true,false,false,false,false,true,false,false,false
bugsinpy,black,66aa676278948368dff251dffd58c850cb8b889e,Fix indent calculation with tabs when computing prefixes (#595),true,true,true,true,true,true,true,true,true
bugsinpy,black,d6db1c12a8e14833fe22da377cddc2bd1f43dc14,Fix print() function on Python 2 (#754),true,true,true,true,true,true,true,true,true
bugsinpy,black,6b994fdb8ab70ce4c2eafb8f2f0ff2648f3ff1ef,fix handling of comments in from imports (#829),true,true,true,true,true,true,true,true,true
bugsinpy,black,de806405d2934b629d67e2a6317ad7e826765a20,Add parentheses around tuple unpack assignment (#832),true,false,false,false,false,true,false,false,false
bugsinpy,black,f8617f975d56e81cfb4070ce65584f7b29a77e7a,Add support for always tokenizing async/await as keywords,true,false,false,false,false,true,false,false,false
bugsinpy,black,9394de150ebf0adc426523f46dc08e8b2b2b0b63,Fix trailing comma for function with one arg (#880) (#891),true,true,true,true,false,true,true,true,true
bugsinpy,black,c7495b9aa098ef7a358fc74556359d21c6a4ba11,Fix unstable format involving backslash + whitespace at beginning of file (#948),true,true,true,true,true,true,true,true,true
bugsinpy,black,7a14a37981862ef418f3cdb4a7e2375856f97529,Change exit code to 2 when config file doesn't exist (#1361),true,false,true,true,true,true,true,true,true
bugsinpy,black,892eddacd215d685e136686b7f629ade70adca83,"Fix for ""# fmt: on"" with decorators (#1325)",true,true,true,true,true,true,true,true,true
bugsinpy,black,c0a7582e3d4cc8bec3b7f5a6c52b36880dcb57d7,permits black to run in AWS Lambda: (#1141),true,false,true,true,false,true,true,true,true
bugsinpy,cookiecutter,457a1a4e862aab4102b644ff1d2b2e2b5a766b3c,using custom exception instead of exit status and cleanup project dir,true,false,true,true,false,true,true,false,false
bugsinpy,cookiecutter,7129d474206761a6156925db78eee4b62a0e3944,Prevent click API v7.0 from showing choices when already shown,true,false,true,true,true,true,true,true,true
bugsinpy,cookiecutter,90434ff4ea4477941444f1e83313beb414838535,Changed: Generated projects can use multiple type hooks at same time. (sh + py) (#974),true,false,false,false,false,true,false,false,false
bugsinpy,cookiecutter,7f6804c4953a18386809f11faf4d86898570debc,Fix default values being loaded with wrong encoding on Windows (#1414),true,true,true,true,true,true,true,true,true
bugsinpy,fastapi,9745a5d1ae86a7fefacf79bdde8e5dd2d59fa2f4,:bug: Fix jsonable_encoder for models with Config (#29),true,true,true,true,true,true,true,true,true
bugsinpy,fastapi,6d77e2ac5f2cadc63424f2d85d8d8cded2975922,:sparkles: Add websocket to APIRouter (#100),true,false,false,false,false,true,false,false,false
bugsinpy,fastapi,b7d184363fad5f6b55d15ec3a3a844aa81092bbd,:bug: Fix JSON Schema of additional properties (#121),true,true,true,true,true,true,true,true,true
bugsinpy,fastapi,c8df3ae57c57e119d115dd3c1f44efa78de1022a,:bug: Fix handling additional responses in include_router (#140),true,true,true,true,true,true,true,true,true
bugsinpy,fastapi,d262f6e9296993e528e2327f0a73f7bf5514e7c6,:bug: Fix HTTP Bearer security auto-error (#282),true,true,true,true,true,true,true,true,true
bugsinpy,fastapi,06eb4219345a77d23484528c9d164eb8d2097fec,Fix request body parsing with Union (#400),true,true,true,true,true,true,true,true,true
bugsinpy,fastapi,38495fffa560fa57a8f0e6437d8e43c36c8e5612,:bug: Fix skip_defaults implementation when returning a Pydantic model (#422),true,true,true,true,true,true,true,true,true
bugsinpy,fastapi,c5817912d2be25bb310bf9da517882f57bbe7bb5,:bug: use media_type from Body params for OpenAPI requestBody (Fixes: #431) (#439),true,true,true,true,true,true,true,true,true
bugsinpy,fastapi,dd963511d699b463b416408a0ad705b3dda0d067,:bug: Fix preserving route_class when calling include_router (#538),true,true,true,true,true,true,true,true,true
bugsinpy,fastapi,19c77e35bdde33aeec1eb2cfa680f95016492b69,:bug: Fix issue with exotic pydantic error serialization (#748),true,true,true,true,true,true,true,true,true
bugsinpy,fastapi,874d24181e779ebc6e1c52afb7d6598f863fd6a8,":bug: Fix validating form params declared with classes (list, tuple, set, etc) (#856)",true,true,true,true,true,true,true,true,true
bugsinpy,fastapi,75a07f24bf01a31225ee687f3e2b3fc1981b67ab,:lock: Fix clone field implementation to handle sub-models in response_model (#889),true,true,true,true,true,true,true,true,true
bugsinpy,fastapi,74c4d1c1dbe6bfdb05d6e4fc767ffe062398f0a3,:bug: Fix declaring a single parameter per name (#994),true,true,true,true,true,true,true,true,true
bugsinpy,fastapi,aea04ee32ee1942e6e1a904527bb8da6ba76abd9,:bug: Fix exclude_unset and aliases in response model validation (#1074),true,true,true,true,true,true,true,true,true
bugsinpy,fastapi,02441ff0313d5b471b662293244c53e712f1243f,:bug: Fix dependency overrides in WebSockets (#1122),true,true,true,true,true,true,true,true,true
bugsinpy,fastapi,3397d4d69a9c2d64c1219fcbf291ea5697a4abb8,:sparkles: Implement response_model_exclude_defaults and response_model_exclude_none (#1166),true,false,false,false,false,true,false,false,false
bugsinpy,httpie,90af1f742230831792d74d303d1e7ce56c96d4bd,Fixed escaping for long separators.,true,true,true,true,true,true,true,true,true
bugsinpy,httpie,040d981f00c3f6830b2d0db3daf3c64c080e96e3,Fixed custom Host,true,true,true,true,true,true,true,true,true
bugsinpy,httpie,589887939507ff26d36ec74bd2c045819cfa3d56,Fixed --download with --session,true,true,true,true,true,true,true,true,true
bugsinpy,httpie,e18b609ef7d867d6efa0efe42c832be5e0d09338,Fixed --max-redirects,true,true,true,true,true,true,true,true,true
bugsinpy,httpie,5300b0b490b8db48fac30b5e32164be93dc574b7,Fixed #451 - OSError: [Errno 36] File name too long,true,true,true,true,true,true,true,true,true
bugsinpy,keras,159bb1aac17a8de0f96997d35703b8f26926a848,"Fix ValueError for LSTM(implementation=1, use_bias=False) (#8299)",true,true,true,true,true,true,true,true,true
bugsinpy,keras,3292aa5a30350c67627f173ceac713956f68271f,Fix RNN layers dynamic `trainable` attr,true,true,true,true,true,true,true,true,true
bugsinpy,keras,b17169ca5d6cd1c8aeb237fc2bb0555c9e1b6a02,Fix to_categorical,true,true,true,true,true,true,true,true,false
bugsinpy,keras,2f3edf96078d78450b985bdf3bfffe7e0c627169,"Allow custom steps_per_epoch for sequences, default to len(generator) if unspecified (#8509)",true,false,false,false,false,true,false,false,false
bugsinpy,keras,4a58b178073f0ba3b166220f7ebd7d56149bfb20,Rethrow original exception in GeneratorEnqueuer. (#8485),true,false,true,true,true,true,true,true,true
bugsinpy,keras,4cad455ef4da600c96ddc69800bab39d0e52b677,Fix stacked rnn compute output shape (#8833),true,true,true,true,true,true,true,true,true
bugsinpy,keras,a5ecde595c47f35fd7293d52eba48efd687ca94e,Fix progress bar when total number of steps is unknown (#9052),true,true,true,true,true,true,true,true,true
bugsinpy,keras,64f80d6077edd5f277a1181df94bf4510ea0517a,Fix StackedRNNCells step input shape (#9090),true,true,true,true,true,true,true,true,true
bugsinpy,keras,1d2ad790dd43a2d702176c1170b2f3fd592a385a,Fix __call__ for Bidirectional wrapper (#9248),true,true,true,true,true,true,true,true,true
bugsinpy,keras,fb1887d132a8ce8548ff53d868a6ba531cd63b34,Fix TF error for SeparableConv1D when strides > 1 (#9206),true,true,true,true,true,true,true,true,true
bugsinpy,keras,738819de0b7e6bc45abed8d0640f02b81c6ac4e9,Fix ImageDataGenerator preprocessing_function (#9273),true,true,true,true,true,true,true,true,true
bugsinpy,keras,4b74fc5418944c9f449eb88ed4b40ada280fa5ca,Fix sequence bug (#9513),true,true,true,true,true,true,true,true,true
bugsinpy,keras,70ad0d6e4a569701ef106058397ad0540ec08340,Correct tokenization with multi-character `split` (#9585),true,true,true,true,true,true,true,true,true
bugsinpy,keras,709f791af201caaab4aa180bda259989087cfe47,Fixed inconsistencies regarding ReduceLROnPlateau (#9723),true,true,true,true,true,true,true,true,true
bugsinpy,keras,e2a10a5e6e156a45e946c4d08db7133f997c1f9a,Fix ctc_batch_cost() error when batch_size = 1 (#9775),true,true,true,true,true,true,true,true,true
bugsinpy,keras,2c8d1d03599cc03243bce8f07ed9c4a3d5f384f9,fit/evaluate_generator supporting native tensors (#9816),true,false,false,false,false,true,false,false,false
bugsinpy,keras,adc321b4d7a4e22f6bdb00b404dfe5e23d4887aa,Fix stateful metrics when passing dict to compile (#9894),true,true,true,true,true,true,true,true,true
bugsinpy,keras,5422fdd38baad36730cb6aeb946e17eeae6a551c,fix TimeSeriesGenerator glitch (#9899),true,true,true,true,true,true,true,true,true
bugsinpy,keras,b076e227da6beaf87d6c84eff1a92285e4662acf,Fix Bidirectional Regularization (#10012),true,true,true,true,true,true,true,true,true
bugsinpy,keras,97d5fa920e4f8248128f7c1b460fd9bb20d3478f,Fix shape mismatch in `rnn()` of tensorflow_backend (#10038),true,true,true,true,true,true,true,true,true
bugsinpy,keras,84e168b5fa55933e02e767ff7c86fcc0232aecc6,Fix preprocess_input not working with int arrays (#10134),true,true,true,true,true,true,true,true,true
bugsinpy,keras,bcf0031b54d555179be81c088cc3df0a723d7907,fix TensorBoard callback with unit test (#10173),true,true,true,true,true,true,true,true,true
bugsinpy,keras,69c30a150f0b2caee7961ca1c0080960ef5ad6f6, Fix nested sequential deferred build (#10655),true,true,true,true,true,true,true,true,true
bugsinpy,keras,ee02d256611b17d11e37b86bd4f618d7f2a37d84,Make InputLayer support masking (#10794),true,false,false,false,false,true,false,true,false
bugsinpy,keras,1fc585adb57f20a2acf69f0cd08b731259b8d2f8,EarlyStopping: restore model weights corresponding to best value of monitored quantity (#10765),true,false,false,true,false,true,false,true,false
bugsinpy,keras,6dd087ab73b09e449144ff17450cc14f981b9ac2,"[P, RELNOTES] Conv2DTranspose supports dilation (#11029)",true,false,false,false,false,true,false,false,false
bugsinpy,keras,66f8cc7ac4942f7f9fe0164a2a854a6264b87735,Update the RNN cell API to be explicit about output_size. (#11021),true,false,false,true,false,true,false,false,false
bugsinpy,keras,244546c2fe5165b6770eb456afd5fac8878473c5,Fix TF Function accepts session_kwargs: options and run_metadata (#11107),true,true,true,true,true,true,true,true,false
bugsinpy,keras,5a6af4bc6d44e9adbc2a21804bfcd18c4ce849ef,fix sparse categorical acc (#11100),true,true,true,true,true,true,true,true,true
bugsinpy,keras,fe38f9dfc8c732a77ac03507b63c79b1d2acfba2,Modify Sequential config to include model name (breaking change). Matches tf.keras behavior as of TF 1.11.0. (#11133),true,false,false,true,false,true,false,false,false
bugsinpy,keras,f60313e29657b2afb6a02f28dba5936bc0dd09e6, Fixed the windows line endings in the CSVCallback. (#11124),true,true,false,true,false,true,true,true,true
bugsinpy,keras,02bc5010a04bb11c8e91835cc9775c8149dec754,Fix bug in sparse_top_k_categorical_accuracy (#11196),true,true,true,true,true,true,true,true,true
bugsinpy,keras,a07253d8269e1b750f0a64767cc9a07da8a3b7ea,Fix `fit_generator` for `workers=0` (#11285),true,true,true,true,true,true,true,true,true
bugsinpy,keras,6dff721a3a8755356b2e89d02ef63ad8ab38ec95, Fix bug in sparse_categorical_accuracy  (#11373),true,true,true,true,true,true,true,true,true
bugsinpy,keras,d6b5c5ebb410e3366c9d7aca41977a60134bfe10,Improve type-check for Sequence (#11468),true,false,false,true,false,true,true,false,false
bugsinpy,keras,c05ef1fd95a6024155ab59656fef8dac5a45c335,Fixed KerasRegressor.predict() squeezing length-1 output arrays. (#11658),true,true,true,true,true,true,true,true,true
bugsinpy,keras,4b54657ab4806b0aaef8f8eeb973edb83c3d3483,[P] Fixed NaN loss when given a mask with all zeros (#11643),true,true,true,true,true,true,true,true,true
bugsinpy,keras,c1c4afe60b1355a6c0e83577791a0423f37a3324,Make `sample_weights` and `class_weights` multiplicative. (#11914),true,false,false,true,false,true,false,true,true
bugsinpy,keras,e11c48d9ce3ee47bb8a966549b14cbd5b10ee70d,Fix function 'get_file()' is inconsistent with keras backend when 'KERAS_HOME' is not `~/.keras` (#11924),true,true,true,true,true,true,true,true,true
bugsinpy,keras,0505393746d56ddacc34bb1c016dba79429c9ac9,Fix Arguments display in Docs (#12007),true,true,true,true,true,true,true,true,true
bugsinpy,keras,d78c982b326adeed6ac25200dc6892ff8f518ca6,Fixed loading bug for shared layers accross multiple depths (#11588),true,true,true,true,true,true,true,true,true
bugsinpy,keras,4185cbb50bfcae9cc30b0fc7b67e81d67a50a8ac,Use var_list argument in TFOptimizer wrapper (#12106),true,false,true,true,false,true,true,true,true
bugsinpy,keras,c13d2723d01212d09dfdda39b0ad439803ec9230,[P?] Fix clone_model (#12205),true,true,true,true,true,true,true,true,true
bugsinpy,keras,c24d16af155e20976bdf61e468ba760408e676ff,Fix in_top_k tests to include CNTK [Test fails] (#12336),true,true,false,true,true,true,true,true,true
bugsinpy,keras,8e23a3ec47a2ccbf6cdd222a80886c6b9f17264f,Fix initializers and update ops.,true,true,true,true,false,true,true,true,true
bugsinpy,luigi,fccb631a14e1d52138d39f06004be14ca8f3337d,Positional params: revert behavior to a78338c^,true,false,true,true,true,true,true,true,true
bugsinpy,luigi,027ac3fbcf66d5d21554c9ac6da26eee5c2e0f3d,Fix for #857 - unhashable types in constructor throwing an error msg,true,true,true,true,true,true,true,true,true
bugsinpy,luigi,c0857e9e06012b696017e0a353ae74f4f621d066,Prevents non-runnable tasks from going to assistants,true,false,true,true,true,true,true,true,true
bugsinpy,luigi,f1e3fb48fe9877e511a2d079636fd75eaaba4573,Fixed a bug with event callbacks - the success callback was called even if the job failed Added a test for it as well.,true,true,true,true,true,true,true,true,true
bugsinpy,luigi,2898a2d2d178499435892d7a69bb1dfc90c70b29,Fix #877 by breaking some backwards compatibility,true,true,true,true,false,true,true,true,true
bugsinpy,luigi,e2be971226c34a193d7029c51206e488b6a037cd,Fix #896: make table_exists case insensitive,true,true,true,true,true,true,true,true,true
bugsinpy,luigi,fa17292ebb54c8b83db8cf0995618a2a057103a6,Fix bug where command line Tasks skip config,true,true,true,true,true,true,true,true,true
bugsinpy,luigi,13673fd488c25325db633b1d49e664fb937fabc2,Add a basic test for hadoop_jar.py,true,false,true,false,true,true,true,false,true
bugsinpy,luigi,040bbc9ef8d1703b64d13c60f271fded63e13601,Merge pull request #996 from kianho/fix-995,true,true,true,true,false,true,true,true,true
bugsinpy,luigi,8a4f73296f237fcf8182c342e62c2cb201c717df,Merge pull request #1001 from pbamba/spark_config,true,false,true,false,false,true,true,true,true
bugsinpy,luigi,dc41727f4de88f86f4e77aa45be51eff4ee6b3be,Fix #1023 add pruning on get_work of local scheduler,true,true,true,true,true,true,true,true,true
bugsinpy,luigi,2db9768958c9665c2bb78f040054a25534205fc4,A Fix the TypeError whenever prune is called before update has been invoked in worker.,true,true,true,true,true,true,true,true,true
bugsinpy,luigi,1a6a89d8b510089392bb407d4ec660451deb1f23,Merge pull request #1059 from Tarrasch/fix-luigi-run-use-case,true,true,true,true,true,true,true,true,true
bugsinpy,luigi,c3d685e2b03369aab6f4d86ed1c95169c1c2c217,Merge pull request #1109 from jkukul/fix-task_to_str_to_task-behaviour,true,true,true,true,false,true,true,true,true
bugsinpy,luigi,6cffbf438d023441f7f42c2019a51c62eecd9018,Fixes a bug with auto-reenable when disable_failures is 1,true,true,true,true,true,true,true,true,true
bugsinpy,luigi,c521d59c5eacf6c19ce3c17a62f73e042fa0556e,Overrides scheduler disable with manual disable by worker,true,false,true,true,true,true,true,true,true
bugsinpy,luigi,e38392a1381dd8daee0f180f0ac7f651edb88e0c,Merge pull request #1497 from riga/fixLocalSchedTaskHist,true,true,true,true,false,true,true,true,true
bugsinpy,luigi,96f2b5a97c2cc5f63bea0f422c57f93dcec0ebac,bugfix: assistant workers not retrying failed tasks,true,true,true,true,true,true,true,true,true
bugsinpy,luigi,736c0f1352463c20ece84f2f651bcd37fd2b88ae,assistants bugfix: Also prune UNKNOWN tasks,true,true,true,true,true,true,true,true,true
bugsinpy,luigi,43f2de2646c8e1efd6e17ffabbb11accc21e70b6,Bugfix: Scheduler crashes for some configs,true,true,true,true,true,true,true,true,true
bugsinpy,luigi,a8e64fe7f83d69702166a44c7e8cb9470ff31040,Fix bug in LocalFileSystem.move (#1643),true,true,true,true,true,true,true,true,true
bugsinpy,luigi,b3e9ad57f8502a390686957b69070105fddcfd49,Caches get_autoconfig_client on a per-thread basis,true,false,false,false,false,true,true,false,false
bugsinpy,luigi,70d8734d60e168389f425082b41b1936d63c028e,Prevents batch tasks from running before their dependencies (#1846),true,false,true,true,true,true,true,true,true
bugsinpy,luigi,3c55acd2cd5cf9c6c760bec5bb3159e0bc48a614,Filters tasks in second branch of Worker.get_pending_tasks (#1849),true,false,true,true,false,true,true,true,true
bugsinpy,luigi,b7115974c3deadf77113686248b39567cb67e38f,retcodes: Understand succesful retries (#1951),true,false,true,true,true,true,true,true,true
bugsinpy,luigi,8874b93165953c4f6bbe7b747804654d13290018,Update check for table existence to be case insensitive (#2086),true,false,true,true,true,true,true,true,true
bugsinpy,luigi,daf9ce99a3a7ed4227d1564570c5fce8848357e5,[bug-fix] scheduler won't override running status incorrectly (#2187),true,true,true,true,true,true,true,true,true
bugsinpy,luigi,ce881b2a95743887c6147ff4ba23ce5f622b3f5e,Fix ListParameter Hashability (#2227),true,true,true,true,true,true,true,true,true
bugsinpy,luigi,1fbec18ceb7c5de352e6d1df12960c61f09e67c2, Fix MRO on tasks using util.requires (#2307),true,true,true,true,true,true,true,true,true
bugsinpy,luigi,8501e5dbb8d3040453a89bb0d3562526086d51e5,Allow NoneType columns in Redshift COPY job (#2303),true,false,true,true,false,true,false,true,true
bugsinpy,luigi,3a0bfbff69addfb3be1107adab3d4914bcae3e4b,Fix parsing for TupleParameter (#2619),true,true,true,true,true,true,true,true,true
bugsinpy,luigi,24e85945ae39e5975491527e00c3f0f64b42ea6e,Merge pull request #2705 from spotify/claire/fix_dataflow_bq_return_type,true,true,true,true,false,true,true,true,true
bugsinpy,luigi,aec5dc2ed8db53fc282a0bd24aabe59031b6d1ba,fix calling method on wrong object,true,true,true,true,true,true,true,true,true
bugsinpy,matplotlib,d4de838fe7b38abb02f061540fd93962cc063fc4,Backport PR #14241: Fix linear segmented colormap with one element,true,true,true,true,true,true,true,true,true
bugsinpy,matplotlib,184225bc5639fbd2f29c1253602806a8b6462d9f,Backport PR #14488: Make sure EventCollection doesn't modify input in-place,true,false,true,true,true,true,true,true,true
bugsinpy,matplotlib,fc51b411ba5d0984544ecff97e0a28ea4b6a6d03,Backport PR #14598: Fix inversion of shared axes.,true,true,true,true,true,true,true,true,true
bugsinpy,matplotlib,94ac78a47cfaed9a09e5fd8295b88e8248b67f55,Fix bug that caused a crash when setting negative limits and using log scale,true,true,true,true,true,true,true,true,true
bugsinpy,matplotlib,02f25d60139b160fd9b321802b4a2f6c6f3f8672,colorbar(label=None) should give an empty label,true,false,true,true,true,true,true,true,true
bugsinpy,matplotlib,557375ff91f64c1b827f6014da2d369513a69316,Don't misclip axis when calling set_ticks on inverted axes.,true,false,true,true,true,true,true,true,true
bugsinpy,matplotlib,407a9fe71a4c0a8ba4914b8f54f21d32d6dd2d74,Backport PR #14677: Don't misclip axis when calling set_ticks on inverted axes.,true,false,true,true,true,true,true,true,true
bugsinpy,matplotlib,418a1adf597b4d7759dcd64b864bd64cc1b507f4,Fix nonsensical transform in mixed-mode axes aspect computation.,true,true,true,true,true,true,true,true,true
bugsinpy,matplotlib,2349d826a170a10510d1ee8be02eaff51f7ee89f,Backport PR #15347: Fix axes.hist bins units,true,true,true,true,true,true,true,true,true
bugsinpy,matplotlib,6fceb054369445d0b20d2864957e8bcfd8d2cb87,added a new argument use_marker=True to fix the issue with line markers showing up on boxplots. added a test.,true,true,true,true,true,true,true,true,true
bugsinpy,matplotlib,5375487ab28c877c8008c5a178e0b81a6e267957,Backport PR #16175: FIX: ignore axes that aren't visible,true,true,true,true,true,true,true,true,true
bugsinpy,matplotlib,670d5614e884be8013cf5dbb2160b4d33314d771,Don't default to negative radii in polar plot.,true,false,true,true,true,true,true,true,true
bugsinpy,matplotlib,47479b04b6718a65ebaac094db106d44b40da509,Backport PR #16300: Don't default to negative radii in polar plot.,true,false,true,true,true,true,true,true,true
bugsinpy,matplotlib,05a5db0fec2eced55076736f0b9520641b279ad6,Cast vmin/vmax to floats before nonsingular-expanding them.,true,false,true,true,true,true,true,true,true
bugsinpy,matplotlib,5d99e151be80bcb0b3b6d081fd3038330f573d94,Backport PR #16344: Cast vmin/vmax to floats before nonsingular-expanding them.,true,false,true,true,true,true,true,true,true
bugsinpy,matplotlib,c7df5d2770030fe4588a0fc1ab4449a689554dfc,FIX: add base kwarg to symlognorm,true,true,true,true,false,true,true,false,false
bugsinpy,matplotlib,fafa132484872141431a5be3727eab1d8b3c7b82,changed 'colors' parameter to default to rcParams['lines.color'] in line with issue #16482,true,false,true,true,false,true,true,true,false
bugsinpy,matplotlib,c986a12b6d0d0d44f5a87f7cd4408f38040e2537,Lower Text's FontProperties priority when updating,true,false,true,true,false,true,true,true,true
bugsinpy,matplotlib,eb4b15b47a4d019f0e9edb2fb0587aebc2dbd8e8,fix bug where make_compound_path kept all STOPs,true,true,true,true,true,true,true,true,true
bugsinpy,matplotlib,af745264376a10782bd0d8b96d255f958c2950f3,Fix Text('').get_window_extent(dpi=...).,true,true,true,true,true,true,true,true,true
bugsinpy,matplotlib,382be60aec3e6ebbf92f3d5792ba059bf3cfe6cf,Fixed incorrect colour in ErrorBar when Nan value is presented (#16724),true,true,true,true,true,true,true,true,true
bugsinpy,matplotlib,1986da3968ee76c6bce8f4c04aed80e23bd4ecfa,set_tick_params(label1On=False) should also make offset text invisible.,true,false,true,true,true,true,true,true,true
bugsinpy,matplotlib,2f41868de465b86d2fc357f7ed58ff323d58030f,FIX: cancel pending autoscale on manually setting limits,true,true,true,true,true,true,true,true,true
bugsinpy,matplotlib,c01f9d3eff9b6239446c1bb2d205eccd69054aeb,Unstale viewlims before draw()ing polar axes.,true,false,true,true,true,true,true,true,true
bugsinpy,matplotlib,ac400b51bb31b91920ee9aae02a0606a67983a8f,Fix LightSource.shade on fully unmasked array.,true,true,true,true,true,true,true,true,true
bugsinpy,matplotlib,66289c4f1895b8c65ca92a03d92f6b1cfa552267,Correctly set default linewidth for unfilled markers.,true,true,true,true,true,true,true,true,true
bugsinpy,matplotlib,d84f4a7ac8d43d1288cb8ce11ab60ae557306b7e,FIX: fix support for single color 2D array as c to mean single color,true,true,true,true,true,true,true,true,true
